Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;21100913307;"Journal of Mining Institute";journal;"25419404, 24113336";1,135;Q1;32;81;271;3248;1343;268;5,03;40,10;32,10;0;40;Russian Federation;Eastern Europe;"Saint-Petersburg Mining University";"2017-2024";"Economic Geology (Q1); Geology (Q1); Geotechnical Engineering and Engineering Geology (Q1)";"Earth and Planetary Sciences"
2;19900192728;"Moscow Mathematical Journal";journal;"16094514, 16093321";0,916;Q1;24;27;84;708;66;83;0,74;26,22;8,51;0;0;Russian Federation;Eastern Europe;"Independent University of Moscow";"2010-2024";"Mathematics (miscellaneous) (Q1)";"Mathematics"
3;21511;"Russian Chemical Reviews";journal;"0036021X, 14684837";0,890;Q1;90;38;129;10352;867;128;6,91;272,42;32,86;0;16;Russian Federation;Eastern Europe;"Editorial Board of the Journal Uspekhi Khimii (Russian Chemical Reviews)";"1970-2025";"Chemistry (miscellaneous) (Q1)";"Chemistry"
4;21100836842;"Rossijskaja Arheologija";journal;"08696063";0,831;Q1;7;56;155;1684;73;155;0,42;30,07;42,11;0;2;Russian Federation;Eastern Europe;"Izdatel'stvo Nauka";"2017-2024";"Archeology (Q1); Archeology (arts and humanities) (Q1); History (Q1)";"Arts and Humanities; Social Sciences"
5;21101048330;"Mining Science and Technology (Russian Federation)";journal;"25000632";0,773;Q1;11;31;86;797;167;86;2,54;25,71;33,75;0;12;Russian Federation;Eastern Europe;"National University of Science and Technology MISIS";"2016-2024";"Geology (Q1); Industrial and Manufacturing Engineering (Q1); Geotechnical Engineering and Engineering Geology (Q2); Process Chemistry and Technology (Q2)";"Chemical Engineering; Earth and Planetary Sciences; Engineering"
6;16869;"Biochemistry (Moscow)";journal;"00062979, 16083040";0,661;Q2;97;184;462;14211;1286;460;2,28;77,23;52,75;0;48;Russian Federation;Eastern Europe;"";"1972-1980, 1996-2024";"Biochemistry (Q2); Biophysics (Q2); Geriatrics and Gerontology (Q2); Medicine (miscellaneous) (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine"
7;21100855405;"Povolzhskaya Arkheologiya";journal;"25002856, 23064099";0,598;Q1;8;68;211;1712;93;211;0,43;25,18;38,85;0;9;Russian Federation;Eastern Europe;"Academy of Sciences of Tatarstan, A.Kh. Khalikov Archaeology Institute";"2017-2024";"Archeology (Q1); Archeology (arts and humanities) (Q1)";"Arts and Humanities; Social Sciences"
8;21100874334;"Russian Journal of Linguistics";journal;"26868024, 26870088";0,595;Q1;17;39;133;2036;261;132;2,18;52,21;73,08;0;4;Russian Federation;Eastern Europe;"RUDN University";"2018-2024";"Linguistics and Language (Q1)";"Social Sciences"
9;19700173205;"Acarina";journal;"22215115, 01328077";0,581;Q2;17;22;60;505;43;60;0,98;22,95;16,00;0;1;Russian Federation;Eastern Europe;"Tyumen State University";"2009-2024";"Insect Science (Q2)";"Agricultural and Biological Sciences"
10;21100286906;"Eurasian Mining";journal;"20720823";0,574;Q2;20;45;108;1198;186;108;1,44;26,62;38,54;0;11;Russian Federation;Eastern Europe;"Ore &amp; Metals Publishing House";"2013-2024";"Business and International Management (Q2); Economic Geology (Q2); Geotechnical Engineering and Engineering Geology (Q2); Industrial and Manufacturing Engineering (Q2); Management of Technology and Innovation (Q2)";"Business, Management and Accounting; Earth and Planetary Sciences; Engineering"
11;85920;"Reviews on Advanced Materials Science";journal;"16058127, 16065131";0,572;Q2;70;117;186;8811;705;186;3,60;75,31;27,29;0;27;Russian Federation;Eastern Europe;"Walter de Gruyter GmbH";"2003-2024";"Condensed Matter Physics (Q2); Materials Science (miscellaneous) (Q2); Nanoscience and Nanotechnology (Q2)";"Materials Science; Physics and Astronomy"
12;21100415026;"Invertebrate Zoology";journal;"18129250, 18140815";0,569;Q1;14;35;85;1341;106;85;1,48;38,31;34,67;0;2;Russian Federation;Eastern Europe;"KMK Scientific Press Ltd.";"2015-2024";"Animal Science and Zoology (Q1); Ecology, Evolution, Behavior and Systematics (Q2)";"Agricultural and Biological Sciences"
13;21101052860;"History, Archeology and Ethnography of the Caucasus";journal;"26186772, 2618849X";0,565;Q1;4;69;165;1644;37;165;0,24;23,83;38,78;0;10;Russian Federation;Eastern Europe;"Daghestan Federal Research Centre of Russian Academy of Sciences (RAS)";"2019-2024";"Anthropology (Q1); Archeology (Q1); Archeology (arts and humanities) (Q1); Cultural Studies (Q1); History (Q1)";"Arts and Humanities; Social Sciences"
14;21100937441;"Vestnik Archeologii, Antropologii i Etnografii";journal;"18117465, 20710437";0,562;Q1;7;74;221;2445;101;221;0,45;33,04;56,15;0;19;Russian Federation;Eastern Europe;"Tyumen Scientific Centre of Siberian Branch of the Russian Academy of Sciences";"2019-2024";"Anthropology (Q1); Archeology (Q1); Archeology (arts and humanities) (Q1)";"Arts and Humanities; Social Sciences"
15;20500195051;"Arthropoda Selecta";journal;"0136006X";0,556;Q2;18;47;164;1327;153;164;1,11;28,23;30,14;0;2;Russian Federation;Eastern Europe;"KMK Scientific Press Ltd.";"2011-2024";"Ecology, Evolution, Behavior and Systematics (Q2); Insect Science (Q2)";"Agricultural and Biological Sciences"
16;21101053557;"Nizhnevolzhskiy Arkheologicheskiy Vestnik";journal;"26585995, 25878123";0,554;Q1;5;33;91;1145;43;90;0,39;34,70;42,67;0;5;Russian Federation;Eastern Europe;"Volgograd State University";"2019-2024";"Archeology (Q1); Archeology (arts and humanities) (Q1)";"Arts and Humanities; Social Sciences"
17;26456;"Sbornik Mathematics";journal;"14684802, 10645616";0,554;Q2;32;73;214;1665;170;214;0,74;22,81;19,23;0;0;Russian Federation;Eastern Europe;"Steklov Mathematical Institute of Russian Academy of Sciences";"1977, 1993-2024";"Algebra and Number Theory (Q2); Mathematics (miscellaneous) (Q2)";"Mathematics"
18;21100256975;"Acta Naturae";journal;"20758251";0,546;Q2;38;42;139;2015;298;139;1,75;47,98;56,25;0;13;Russian Federation;Eastern Europe;"Acta Naturae";"2013-2024";"Biotechnology (Q2); Biochemistry (Q3); Molecular Biology (Q3); Molecular Medicine (Q3)";"Biochemistry, Genetics and Molecular Biology"
19;21100915694;"Bulletin of Irkutsk State University, Series Mathematics";journal;"25418785, 19977670";0,543;Q2;9;31;106;562;87;106;0,91;18,13;31,67;0;0;Russian Federation;Eastern Europe;"Irkutsk State University";"2019-2024";"Mathematics (miscellaneous) (Q2)";"Mathematics"
20;21100905930;"Kratkiye Soobshcheniya Instituta Arkheologii";journal;"01302620";0,543;Q1;7;113;371;2644;117;371;0,31;23,40;38,38;0;5;Russian Federation;Eastern Europe;"Russian Academy of Sciences, Institute of Archaeology";"2018-2024";"Archeology (arts and humanities) (Q1); History (Q1)";"Arts and Humanities"
21;21101160593;"Insight";journal;"26646005, 2663970X";0,529;Q2;13;30;55;862;120;49;3,03;28,73;63,27;0;10;Russian Federation;Eastern Europe;"";"2019-2024";"Psychology (miscellaneous) (Q2); Social Psychology (Q2); Developmental and Educational Psychology (Q3); Experimental and Cognitive Psychology (Q3)";"Psychology"
22;23294;"Izvestiya Mathematics";journal;"10645632, 14684810";0,519;Q2;27;49;142;1289;104;141;0,67;26,31;13,04;0;2;Russian Federation;Eastern Europe;"Steklov Mathematical Institute of Russian Academy of Sciences";"1993-2024";"Mathematics (miscellaneous) (Q2)";"Mathematics"
23;4900152805;"Archaeology, Ethnology and Anthropology of Eurasia";journal;"15630110";0,493;Q1;23;62;183;1999;99;183;0,51;32,24;33,79;0;8;Russian Federation;Eastern Europe;"Elsevier";"2006-2024";"Archeology (arts and humanities) (Q1); Cultural Studies (Q1)";"Arts and Humanities; Social Sciences"
24;21100898936;"Mining Informational and Analytical Bulletin";journal;"02361493";0,492;Q2;21;251;998;7039;1375;998;1,48;28,04;35,28;0;63;Russian Federation;Eastern Europe;"Publishing house Mining book";"2018-2025";"Ecology (Q2); Geochemistry and Petrology (Q2); Geology (Q2); Geotechnical Engineering and Engineering Geology (Q2); Industrial and Manufacturing Engineering (Q2)";"Earth and Planetary Sciences; Engineering; Environmental Science"
25;29244;"Physics-Uspekhi";journal;"10637869, 14684780";0,491;Q2;94;71;211;9255;534;204;2,57;130,35;23,23;0;6;Russian Federation;Eastern Europe;"Uspekhi Fizicheskikh Nauk";"1993-2024";"Physics and Astronomy (miscellaneous) (Q2)";"Physics and Astronomy"
26;21101039405;"RUDN Journal of Language Studies, Semiotics and Semantics";journal;"24111236, 23132299";0,482;Q1;10;77;190;2054;136;188;0,74;26,68;80,92;0;4;Russian Federation;Eastern Europe;"Peoples' Friendship University of Russia";"2019-2024";"Linguistics and Language (Q1)";"Social Sciences"
27;21100855910;"Voprosy Leksikografii";journal;"22274200, 23113758";0,477;Q1;5;20;60;498;43;60;0,78;24,90;84,38;0;1;Russian Federation;Eastern Europe;"Tomsk State University";"2017-2024";"Linguistics and Language (Q1)";"Social Sciences"
28;21100411349;"Zoosystematica Rossica";journal;"03209180, 24100226";0,475;Q2;12;33;103;771;69;103;0,63;23,36;35,94;0;0;Russian Federation;Eastern Europe;"Zoological Institute, Russian Academy of Sciences";"2014-2025";"Animal Science and Zoology (Q2); Aquatic Science (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Insect Science (Q2)";"Agricultural and Biological Sciences"
29;21101040697;"Russian Language Studies";journal;"26188171, 26188163";0,473;Q1;7;33;92;826;60;92;0,73;25,03;73,91;0;7;Russian Federation;Eastern Europe;"RUDN University";"2018-2024";"Linguistics and Language (Q1); Education (Q2)";"Social Sciences"
30;21100438196;"CIS Iron and Steel Review";journal;"20720815";0,472;Q2;18;39;107;955;137;107;1,11;24,49;45,74;0;5;Russian Federation;Eastern Europe;"Ore and Metals Publishing house";"2014-2024";"Industrial and Manufacturing Engineering (Q2); Metals and Alloys (Q2)";"Engineering; Materials Science"
31;21100863480;"New Research of Tuva";journal;"20798482";0,470;Q1;15;66;209;1914;279;209;1,79;29,00;75,22;0;16;Russian Federation;Eastern Europe;"Ch. K. Lamazhaa";"2016-2024";"Anthropology (Q1); Cultural Studies (Q1); History (Q1)";"Arts and Humanities; Social Sciences"
32;21100199808;"Siberian Electronic Mathematical Reports";journal;"18133304";0,465;Q2;16;98;362;1996;198;362;0,52;20,37;23,89;0;4;Russian Federation;Eastern Europe;"Sobolev Institute of Mathematics";"2011-2024";"Mathematics (miscellaneous) (Q2)";"Mathematics"
33;21100827893;"Sustainable Development of Mountain Territories";journal;"19984502, 2499975X";0,439;Q2;19;101;195;3188;267;194;1,54;31,56;40,10;0;58;Russian Federation;Eastern Europe;"North Caucasian Institute of Mining and Metallurgy, State Technological University";"2011-2024";"Earth and Planetary Sciences (miscellaneous) (Q2); Geography, Planning and Development (Q2); Mechanical Engineering (Q2); Sociology and Political Science (Q2); Management, Monitoring, Policy and Law (Q3); Renewable Energy, Sustainability and the Environment (Q3)";"Earth and Planetary Sciences; Energy; Engineering; Environmental Science; Social Sciences"
34;21101021170;"Acta Biologica Sibirica";journal;"24121908";0,433;Q2;7;75;136;2751;113;136;0,64;36,68;46,15;0;15;Russian Federation;Eastern Europe;"Altai State University";"2019-2025";"Animal Science and Zoology (Q2); Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Insect Science (Q2); Nature and Landscape Conservation (Q2); Plant Science (Q2); Global and Planetary Change (Q3)";"Agricultural and Biological Sciences; Environmental Science"
35;26395;"Russian Mathematical Surveys";journal;"00360279, 14684829";0,421;Q2;47;42;131;1710;103;123;0,83;40,71;18,52;0;0;Russian Federation;Eastern Europe;"Steklov Mathematical Institute of Russian Academy of Sciences";"1970-2024";"Mathematics (miscellaneous) (Q2)";"Mathematics"
36;21101154811;"Vestnik Rossiyskikh Universitetov. Matematika";journal;"27823342, 26869667";0,412;Q2;5;35;90;511;53;90;0,73;14,60;28,57;0;0;Russian Federation;Eastern Europe;"Tambov State University";"2019-2024";"Mathematics (miscellaneous) (Q2)";"Mathematics"
37;21100907383;"Georesursy";journal;"16085043, 16085078";0,407;Q2;14;83;174;1938;201;172;1,09;23,35;42,15;0;12;Russian Federation;Eastern Europe;"Georesursy LLC";"2017-2024";"Geology (Q2); Geophysics (Q2)";"Earth and Planetary Sciences"
38;21101121910;"Arkheologiia Evraziiskikh Stepei";journal;"25876112, 26189488";0,406;Q1;5;162;412;4266;96;412;0,22;26,33;45,71;0;28;Russian Federation;Eastern Europe;"Academy of Sciences of Tatarstan, A.Kh. Khalikov Archaeology Institute";"2019-2024";"Anthropology (Q1); Archeology (Q1); Archeology (arts and humanities) (Q1); History (Q1)";"Arts and Humanities; Social Sciences"
39;21100824437;"Led i Sneg";journal;"20766734, 24123765";0,404;Q2;12;50;137;1380;148;136;1,03;27,60;40,44;0;2;Russian Federation;Eastern Europe;"Izdatel'stvo Nauka";"2017-2024";"Earth-Surface Processes (Q2); Geochemistry and Petrology (Q3); Global and Planetary Change (Q3); Water Science and Technology (Q3)";"Earth and Planetary Sciences; Environmental Science"
40;21100386483;"Ufa Mathematical Journal";journal;"23040122";0,397;Q2;11;38;128;922;80;128;0,69;24,26;30,51;0;1;Russian Federation;Eastern Europe;"Institute of Mathematics with Computing Centre";"2014-2024";"Mathematics (miscellaneous) (Q2)";"Mathematics"
41;21100826879;"International Journal of Corrosion and Scale Inhibition";journal;"23056894";0,395;Q2;35;127;300;5604;935;300;3,38;44,13;38,86;0;9;Russian Federation;Eastern Europe;"Russian Association of Corrosion Engineers";"2017-2024";"Materials Chemistry (Q2); Metals and Alloys (Q2)";"Materials Science"
42;38533;"Eurasian Soil Science";journal;"10642293, 1556195X";0,393;Q2;45;195;523;10442;886;523;1,60;53,55;50,69;0;75;Russian Federation;Eastern Europe;"";"1992-2024";"Earth-Surface Processes (Q2); Soil Science (Q2)";"Agricultural and Biological Sciences; Earth and Planetary Sciences"
43;21101037324;"World of Media";journal;"26868016, 23071605";0,391;Q1;9;14;45;706;79;45;2,00;50,43;68,75;0;1;Russian Federation;Eastern Europe;"Lomonosov Moscow State University, Faculty of Journalism";"2019-2024";"Linguistics and Language (Q1); Communication (Q2)";"Social Sciences"
44;21100778009;"Polis. Political Studies";journal;"10269487, 16840070";0,390;Q2;12;70;218;2305;116;217;0,54;32,93;34,72;0;19;Russian Federation;Eastern Europe;"Editorial Board Polis (Political Studies)";"2015-2024";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
